row_type,twitter_user_id,mutual,following_user_id,following_user_name,referenced_author_username,reference_author_name,reference_author_type,reference_author_individual_or_organization,reference_author_web3_relevance,reference_author_nft_relevance,reference_author_user_region_tag_all_time,reference_author_user_region_tag_l6m
FOLLOWING,0,non_mutual,6482234,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string
FOLLOWING,0,mutual,24281084,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string
FOLLOWING,0,mutual,15140973,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string
FOLLOWING,0,non_mutual,1893752,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string
FOLLOWING,0,non_mutual,25643046,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string
FOLLOWING,0,non_mutual,8230156,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string
FOLLOWING,0,non_mutual,7690267,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string
FOLLOWING,0,non_mutual,13851393,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string
FOLLOWING,0,mutual,17886079,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string
FOLLOWING,0,non_mutual,30517025,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string
FOLLOWING,0,mutual,20949318,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string
FOLLOWING,0,mutual,5043395,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string
FOLLOWING,0,mutual,18227566,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string
FOLLOWING,0,non_mutual,31149905,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string
FOLLOWING,0,mutual,8637958,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string
FOLLOWING,0,non_mutual,28118394,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string
FOLLOWING,0,non_mutual,37212722,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string
FOLLOWING,0,non_mutual,25255238,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string
FOLLOWING,0,non_mutual,36705557,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string
FOLLOWING,0,non_mutual,5949609,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string
FOLLOWING,0,mutual,4029347,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string
FOLLOWING,0,mutual,27669435,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string
FOLLOWING,0,non_mutual,38843324,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string
FOLLOWING,0,mutual,28579717,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string
FOLLOWING,0,non_mutual,36484179,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string
FOLLOWING,0,non_mutual,24314088,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string
FOLLOWING,0,non_mutual,34030461,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string
FOLLOWING,0,non_mutual,36409950,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string
FOLLOWING,0,mutual,19231411,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string
FOLLOWING,0,non_mutual,31834058,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string
FOLLOWING,0,mutual,9652737,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string
FOLLOWING,0,mutual,35110339,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string
FOLLOWING,0,mutual,35205700,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string
FOLLOWING,0,mutual,7847426,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string
FOLLOWING,0,non_mutual,21476577,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string
FOLLOWING,0,non_mutual,20800213,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string
FOLLOWING,0,non_mutual,23138709,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string
FOLLOWING,0,mutual,25219634,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string
FOLLOWING,0,mutual,25065341,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string
FOLLOWING,0,non_mutual,17595908,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string,random_string
